"QR ID","QR Text","lot number"
Q57004515@ybl,upi://pay?pa=Q57004515@ybl&pn=PhonePeMerchant&mc=0000&mode=02&purpose=00&orgid=180001&sign=MEQCIAlv/r2+5oa09XylJU75caS1mWFy40wVPdpjto4YR0pJAiBUrbPfxHzv1Jg7NW+T82OuUbfP76oxUa83RKH/n2vAlg==,061219004002
Q95272213@ybl,upi://pay?pa=Q95272213@ybl&pn=PhonePeMerchant&mc=0000&mode=02&purpose=00&orgid=180001&sign=MEUCIQCFXYVfamHWtU8yPtzK4ALbOrJ8B/fsQh0sgT0o2nnTbwIgGhsjlo7CUwvJ/c4KW7P1skE/JuDwnBNsq0NiwblU+ts=,061219004002
Q42869287@ybl,upi://pay?pa=Q42869287@ybl&pn=PhonePeMerchant&mc=0000&mode=02&purpose=00&orgid=180001&sign=MEQCIFIqiFecTgi66ZccHK2Ml2PPpdGLPKHLPBfnUn5EgqjEAiA+pni0oU3EwZdaN0mJ12h+V2jPuJJbEyIXKhPLvnTfcg==,061219004002
Q43965248@ybl,upi://pay?pa=Q43965248@ybl&pn=PhonePeMerchant&mc=0000&mode=02&purpose=00&orgid=180001&sign=MEUCIQDDt03/AX+FKhftZ29wMYABVo0IG70nI7bKwqvf5fs8xwIgUNIChROCjOVoJnYtk9DeZvZyfWz9//9gupOAvSCavrI=,061219004002
